property_id,bank_name,property,reserve_price,emd,emd_last_date,auction_start_date,auction_end_date,state,district,city
BARB097920210017,BANK OF BARODA,COMMERCIAL,"81,52,000.00","8,15,200.00",,,,RAJASTHAN,PALI,pali
BARB097920210018,BANK OF BARODA,RESIDENTIAL,"1,01,79,000.00","10,17,900.00",,,,RAJASTHAN,PALI,pali
BARB097920210019,BANK OF BARODA,RESIDENTIAL,"58,89,803.00","5,88,980.00",,,,RAJASTHAN,PALI,pali
PUNBU02663434001,PUNJAB NATIONAL BANK,RESIDENTIAL,,.00,,,,SIKKIM,SOUTH DISTRICT,LUNGCHUK
PUNBU06965441001,PUNJAB NATIONAL BANK,RESIDENTIAL,,.00,,,,SIKKIM,SOUTH DISTRICT,GAYS STUDIO
PUNBU06966171001,PUNJAB NATIONAL BANK,RESIDENTIAL,,.00,,,,SIKKIM,SOUTH DISTRICT,NAMCHI
PUNBU06966176001,PUNJAB NATIONAL BANK,RESIDENTIAL,,.00,,,,SIKKIM,SOUTH DISTRICT,DEW BLOCK
BARB052520200002,BANK OF BARODA,RESIDENTIAL,"69,00,000.00","6,90,000.00",,,,TAMIL NADU,CHENNAI,CHENNAI
BARB103020200001,BANK OF BARODA,OTHERS,"58,00,000.00","5,80,000.00",,,,TAMIL NADU,THIRUVALLUR,Gumidipoondi
BARB103020200002,BANK OF BARODA,OTHERS,"42,50,000.00","4,25,000.00",,,,TAMIL NADU,THIRUVALLUR,Gumidipoondi
BARB130151031245,BANK OF BARODA,RESIDENTIAL,"15,00,000.00","1,50,000.00",,,,TAMIL NADU,KANCHEEPURAM,AATHANUR
BARB263120200005,BANK OF BARODA,RESIDENTIAL,"1,35,27,000.00","13,52,700.00",,,,TAMIL NADU,CHENNAI,URUR
BARB263120200010,BANK OF BARODA,INDUSTRIAL,"1,18,00,000.00","11,80,000.00",,,,TAMIL NADU,THIRUVALLUR,KAKKALUR
BARB012736,BANK OF BARODA,RESIDENTIAL,"1,76,69,000.00","17,66,900.00",,,,TELANGANA,HYDERABAD,Hyderabad
BARB252736,BANK OF BARODA,RESIDENTIAL,"54,00,000.00","5,40,000.00",,,,TELANGANA,MEDCHAL - MALKAJGIRI,MUNEERABAD
BARB632736,BANK OF BARODA,OTHERS,"6,05,00,000.00","60,50,000.00",,,,TELANGANA,MEDCHAL - MALKAJGIRI,JEEDIMETLA
BARB862736,BANK OF BARODA,INDUSTRIAL,"8,22,00,000.00","82,20,000.00",,,,TELANGANA,SANGAREDDY,Sadashiv Pet Town
BARBVJAHYD03,BANK OF BARODA,RESIDENTIAL,"83,74,000.00","8,37,400.00",,,,TELANGANA,HYDERABAD,HYDERABAD
CORP1252,UNION BANK OF INDIA,RESIDENTIAL,"15,25,000.00","1,52,500.00",,,,TELANGANA,NIZAMABAD,"VASAVI NAGAR, NIZAMABAD"
PUNB0GQY003958,PUNJAB NATIONAL BANK,RESIDENTIAL,"10,50,000.00","1,05,000.00",,,,TRIPURA,KHOWAI,Badharghat
PUNB0NCW00064401,PUNJAB NATIONAL BANK,RESIDENTIAL,"22,00,000.00","2,20,000.00",,,,TRIPURA,NORTH TRIPURA,Dharmanagar
PUNB0U0473297601,PUNJAB NATIONAL BANK,RESIDENTIAL,"8,00,000.00","80,000.00",,,,TRIPURA,GOMATI,Udaipur
PUNB0U0975713701,PUNJAB NATIONAL BANK,RESIDENTIAL,"36,00,000.00","3,60,000.00",,,,TRIPURA,NORTH TRIPURA,Dharmanagar
PUNB0U1254645401,PUNJAB NATIONAL BANK,RESIDENTIAL,"20,00,000.00","2,00,000.00",,,,TRIPURA,SOUTH TRIPURA,Jagannath Para
PUNB0U1257812601,PUNJAB NATIONAL BANK,RESIDENTIAL,"13,00,000.00","1,30,000.00",,,,TRIPURA,KHOWAI,Chhanlong
BARB005820210001,BANK OF BARODA,RESIDENTIAL,"1,80,000.00","18,000.00",,,,UTTAR PRADESH,AMETHI,AMETHI
BARB005820210002,BANK OF BARODA,OTHERS,"1,62,000.00","16,200.00",,,,UTTAR PRADESH,AMETHI,AMETHI
BARB006620210001,BANK OF BARODA,OTHERS,"31,16,000.00","3,11,600.00",,,,UTTAR PRADESH,AMETHI,AMETHI
BARB006620210002,BANK OF BARODA,OTHERS,"14,56,200.00","1,45,620.00",,,,UTTAR PRADESH,AMETHI,AMETHI
BARB006620210003,BANK OF BARODA,OTHERS,"16,20,000.00","1,62,000.00",,,,UTTAR PRADESH,AMETHI,AMETHI
BARB007420210001,BANK OF BARODA,RESIDENTIAL,,"2,43,695.00",,,,UTTAR PRADESH,BAREILLY,BAREILLY
BARB263920200038,BANK OF BARODA,INDUSTRIAL,"5,60,00,000.00","56,00,000.00",,,,UTTARAKHAND,HARDWAR,ROORKEE
BARB263920240029,BANK OF BARODA,INDUSTRIAL,"1,60,00,000.00","16,00,000.00",,,,UTTARAKHAND,GARHWAL,Kotdwar Pauri Garhwal
BARB599020200004,BANK OF BARODA,RESIDENTIAL,"12,00,000.00","1,20,000.00",,,,UTTARAKHAND,HARDWAR,Roorkee
BARB599020200005,BANK OF BARODA,INDUSTRIAL,"1,39,00,000.00","13,90,000.00",,,,UTTARAKHAND,HARDWAR,Roorkee
BARB599020200006,BANK OF BARODA,RESIDENTIAL,"41,31,000.00","4,13,100.00",,,,UTTARAKHAND,HARDWAR,Roorkee
BARB599020210004,BANK OF BARODA,RESIDENTIAL,"10,20,000.00","1,02,000.00",,,,UTTARAKHAND,UTTARKASHI,UTTARKASHI
BARB00856002,BANK OF BARODA,RESIDENTIAL,"25,00,000.00","2,50,000.00",,,,WEST BENGAL,KOLKATA,KOLKATA
BARB017262020005,BANK OF BARODA,RESIDENTIAL,"5,35,000.00","53,500.00",,,,WEST BENGAL,MALDAH,English Bazar
BARB072382021001,BANK OF BARODA,COMMERCIAL,"35,38,000.00","3,53,800.00",,,,WEST BENGAL,COOCH BEHAR,Coochbehar
BARB130802,BANK OF BARODA,COMMERCIAL,"82,93,000.00","8,30,000.00",,,,WEST BENGAL,HOOGHLY,"Laxmigunj Bazar , Chandan nagar"
BARB130803,BANK OF BARODA,INDUSTRIAL,"4,44,16,000.00","44,41,600.00",,,,WEST BENGAL,NADIA,"Kalyani, Nadiya"
BARB130805,BANK OF BARODA,RESIDENTIAL,"17,00,000.00","1,70,000.00",,,,WEST BENGAL,SOUTH 24 PARGANAS,Karaya Road South 24 Parganas
